@relation chat

@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute mensaje string

@data
positiva,socio-emocional,'Dale Juan, a las 5 voy a andar por acá.'
pregunta,tarea,'No sé que pasa que se me cierra el chat'
pregunta,tarea,'¿qué hacemos?'
pregunta,tarea,'¿completamos el 1?'
respuesta,tarea,'el 3 me gusta como quedó, el ejemplo es perfecto'
respuesta,tarea,'Si a mi también se me cierra.'
positiva,socio-emocional,'Si dale'
respuesta,tarea,'podemos completar el uno'
respuesta,tarea,'Encontre un poco de chamuyo para arrancar en el 3.'
respuesta,tarea,'La definición de dispositivos computacionales que puedan pensar requiere la incorporación de elementos que permitan representar el conocimiento y su consecuente'
respuesta,tarea,'Uno de los primeros intentos consistió en la creación de un mecanismo para implementar algoritmos basados en lógica de primer orden.'
respuesta,tarea,'De este esfuerzo nació el lenguaje de programación llamado Prolog.'
respuesta,tarea,'Prolog es un lenguaje de programación para representar y utilizar el conocimiento que se tiene sobre un determinado dominio.'
respuesta,tarea,'Más exactamente, el dominio es un conjunto de objetos y el conocimiento se representa por un conjunto de relaciones que describen las propiedades de los objetos y sus interrelaciones.'
respuesta,tarea,'che.. lo de inductivo,deductivo.. todo eso del 1.. para mi es re secundario.. osea, encontre una parte que lo dice recontra breve ..como decir : esto es TAL cosa, esto TAL otra..'
positiva,socio-emocional,'Si, yo por eso lo deje ahi, no sabia bien que poner'
negativa,socio-emocional,'no creo que sea necesario poner mas q eso siendo q la pregunta se centra mas en otra cosa.. para mi es practico poner algo simple'
positiva,socio-emocional,'Claro, porque habla de definicion, no de explicación.'
respuesta,tarea,'Pero como que leo eso, y me queda medio vacio'
pregunta,tarea,'¿Cómo adquiere la capacidad de aprender?'
positiva,socio-emocional,Hola
respuesta,tarea,'Falta tobias'
positiva,socio-emocional,Sí...
pregunta,tarea,'Bueno, como hacemos esa parte de explicar los tipos de aprendizaje'
respuesta,tarea,'Eso de supervisado y no supervisado, lo lei en varios lados, hasta e wiki .'
respuesta,tarea,'a mi me parece que se entiende más con la información de los pdf que nos pasamos, y me parece bien profundicar en inductivo como dijiste'
pregunta,tarea,'¿hay alguna forma de poner esta ventanita del chat en el docs? porque lo tengo en dos lugares distintos y me vuelve loca!'
respuesta,tarea,'mm, creo que no.'
respuesta,tarea,'Lo que si la podes sacar como una ventana aparte.'
respuesta,tarea,'con la flecha de al lado de cerrar.'
positiva,socio-emocional,'claro, eso lo vi.. y bueno, algo es algo'
respuesta,tarea,'Yo dejaria eso de supervisado y no supervisado, asi bien puntual.'
respuesta,tarea,'Mostrando las diferencias que hay entre cada uno, a que apunta cada uno y que resultado dan.'
positiva,socio-emocional,'está bien'
respuesta,tarea,'Lo acomodaria abajo de lo que puso tobias ahi en aprendizaje inductivo .'
respuesta,tarea,'y por ahi tratar de explicar un poco con nuestras palabras los otros aprendizaje y listo.'
respuesta,tarea,'Como haciendo clasificación de inductivo, dale\"'
respuesta,tarea,'soy horrible tratando de que quede lindo un doc'
positiva,socio-emocional,'Jajajaja, yo te lo acomodo'
positiva,socio-emocional,'dale jaja'
respuesta,tarea,'los de las redes de neuronas lo saco'
respuesta,tarea,'ahi acomode un poco,,,'
pregunta,tarea,'o dejo lo de las neuronas?'
respuesta,tarea,'mm, a mi no me gusta, pero porque no lo entiendo, no porque este mal'
respuesta,tarea,'Bueno, todos esos métodos de aprendizajr que estamos poniendo son un extra igual, así que si no estamos muy seguros de algo lo sacamos'
respuesta,tarea,'Ahi entra Juan creo, que tampoco encuentra como entrar al chat'
respuesta,tarea,'y vemos, tobias tampoco debe encontrar como entrar'
negativa,socio-emocional,'capaz que no... no es muy fácil'
respuesta,tarea,'Para el 3 como una intro, encontre esto.'
respuesta,tarea,'La definición de dispositivos computacionales que puedan pensar requiere la incorporación de elementos que permitan representar el conocimiento y su consecuente manipulación'
respuesta,tarea,'Uno de los primeros intentos consistió en la creación de un mecanismo para implementar algoritmos basados en lógica de primer orden.'
respuesta,tarea,'De este esfuerzo nació el lenguaje de programación llamado Prolog.'
respuesta,tarea,'Prolog es un lenguaje de programación para representar y utilizar el conocimiento que se tiene sobre un determinado dominio.'
respuesta,tarea,'Más exactamente, el dominio es un conjunto de objetos y el conocimiento se representa por un conjunto de relaciones que describen las propiedades de los objetos y sus interrelaciones.'
respuesta,tarea,'O sea el conjunto de objetos, son los hechos en la base, y el conocimiento lo representamos mediante los predicados.'
respuesta,tarea,'yo pondría desde: \"Prolog es un lenguaje de progrmación....\"'
respuesta,tarea,'objetos : fiebre, juan .'
respuesta,tarea,'relacion tiene(juan,fiebre)'
positiva,socio-emocional,barbaro!
positiva,socio-emocional,'Claro, tipo una intro, y después el ejemplo que esta ahi.'
positiva,socio-emocional,'si, va a quedar re bien'
respuesta,tarea,'Chicos, ahí vengo en 15'
positiva,socio-emocional,Ok
respuesta,tarea,'Igual, creo que ya iría quedando, solo decidir que hacemos con lo de los tipos de aprendizajes y listo.'
respuesta,tarea,'Pero ahi vengo, y cerramos asi no se nos hace muy tarde.'
positiva,socio-emocional,'Dale, te espero para eso, pero es verdad, ya estaríamos'
positiva,socio-emocional,'me estaba perdiendo un par de cosas'
respuesta,tarea,'Yo al genético y al conexionista los sacaría, es como mucho ya'
positiva,socio-emocional,'jajaja, bienvenido'
negativa,socio-emocional,'jaja, es todo un dilema ver hasta donde si, y cuando cortar para no irnos por las ramas'
positiva,socio-emocional,'Claro... viste que agregamos bastante en la parte de inductivo, pero es porque nos pareció el más importante'
respuesta,tarea,'si bien son datos importantes, yo quiero como sacar la informacion complementaria'
respuesta,tarea,'lo de las redes de neuronas es interesante, pero es como demasiado ya..'
positiva,socio-emocional,si
pregunta,tarea,'y que es parte del aprendizaje conexionista o que?'
positiva,socio-emocional,claro
respuesta,tarea,'en realidad como no entendiamos a que se referia con lo de redes de neuronas artificales buscamos esa definicion'
pregunta,tarea,'con eso entre paréntesis no hace falta la definición formal, esta bien?'
positiva,socio-emocional,si
positiva,socio-emocional,perfecto
respuesta,tarea,'jajaja, borralo sin culpa, se entiende con lo que pusiste entre parentesis'
negativa,socio-emocional,'lo se, pero como no tengo idea de que parte de google salio esa definicion espero a que todos esten de acuerdo'
respuesta,tarea,'total es solo mirar lo que hay que borrar antes de hacer el pdf'
respuesta,tarea,'Bueno, yo creo que ya estaríamos'
respuesta,tarea,'esperemos a que estemos todos de acuerdo y listo'
negativa,socio-emocional,'hay un chico que no apareció todavía...'
positiva,socio-emocional,'jajaj problemas de conexión'
pregunta,tarea,'bueno, que hacemos.'
pregunta,tarea,'Mañana le damos los retoques finales para mandarlo? o quieren terminarlo en un rato?'
positiva,socio-emocional,'Como quieran...'
respuesta,tarea,'Es para el sábado, asi que problemas de tiempo no hay'
pregunta,tarea,'por otra parte no sé cuanto más se le puede agregar'
respuesta,tarea,'yo decia para que lo vean todos'
positiva,socio-emocional,'Si, mejor poner una hora para mañana.'
positiva,socio-emocional,'Y no tocar nada antes de esa hora jajaja'
positiva,socio-emocional,'Good , volvi .'
positiva,socio-emocional,'Apoyo la de mañana liquidarlo medio temprano.'
positiva,socio-emocional,perfecto
positiva,socio-emocional,'yo trato de contactar al chico que falta para que este al tanto y de su opinion'
pregunta,tarea,'donde te fijas los integrantes del grupo? esta en la catedra?'
respuesta,tarea,'no, en el mail que nos mandaron'
respuesta,tarea,'En el mail .'
respuesta,tarea,'o aca, fijate que arriba hay un tipito con un 5, ahi estamos todos.'
pregunta,tarea,'Bueno, a que hora les parece'
respuesta,tarea,'tratemos de arreglarnos nosotros y dejemos un comentario en el doc, para que lo vean el resto.'
pregunta,tarea,'tipo 5?'
pregunta,tarea,quieren?
positiva,socio-emocional,'dale, dale!'
respuesta,tarea,'Bueno, dejamos las 5 como horario, si alguno de los otros chicos no puede que deje sus sugerencias en el doc'
positiva,socio-emocional,listo.
positiva,socio-emocional,'Nos \"vemos\" mañana'
positiva,socio-emocional,'Hasta mañana chicos!'
respuesta,tarea,'dale, dejen el comment.'
positiva,socio-emocional,listo
positiva,socio-emocional,'ah sofia, como te fue?'
negativa,socio-emocional,'tengo varios parciales practicados, aunque ya es tarde, y esperemos que no llegues al prefi . jaja'
negativa,socio-emocional,'Jajaja, creo que bien'
negativa,socio-emocional,'si me fue mal te los pido, pero espero que no!'
pregunta,tarea,'vos rendiste hoy tambien?'
respuesta,tarea,'No, yo la meti en el parcial'
positiva,socio-emocional,'Ah, re bien'
pregunta,tarea,'que se rendia hoy?'
positiva,socio-emocional,'Bueno me fui, saludos, nos encontramos mañana!'
respuesta,tarea,'recuperatorio de exploratoria'
positiva,socio-emocional,Exitos
positiva,socio-emocional,'Gracias, hasta mañana chicos!'
positiva,socio-emocional,'hasta mañana'
positiva,socio-emocional,Hola!
positiva,socio-emocional,'acá estoy!'
positiva,socio-emocional,'hola sofi, como va?'
positiva,socio-emocional,'Todo bien, ¿vos?'
positiva,socio-emocional,'todo bien'
respuesta,tarea,'Se me pasó un poco la hora, ya casi me olvidaba'
positiva,socio-emocional,jajaja.
respuesta,tarea,'Les damos 5 min al resto'
positiva,socio-emocional,'Si, no hay problema!'
positiva,socio-emocional,'Ah, Colo está en el doc, lo veo...jajaja'
positiva,socio-emocional,'ahi vine!'
negativa,socio-emocional,'esto de hangouts es medio incomodo'
negativa,socio-emocional,'tener 2 cosas y cada una por su lado :S'
positiva,socio-emocional,se
positiva,socio-emocional,'tiene buenos emoticones, eso si. xD'
positiva,socio-emocional,'jaja, es verdad'
respuesta,tarea,'Los que no están en el doc, son los de progr. exploratoria, estaban siempre.'
positiva,socio-emocional,'es verdad'
respuesta,tarea,'bueno, vamos retocando?'
positiva,socio-emocional,Dale
respuesta,tarea,'chicos, la definición de wikipedia con la definición de redes neuranales vuela, no? con lo que arreglaron ayer entre parentesis se entiende...'
respuesta,tarea,'para mi vuela'
positiva,socio-emocional,'Se, vuela.'
positiva,socio-emocional,Ok
respuesta,tarea,'me parece raro que aprendizaje inductivo quede tan grande, es una de las sub-ramas'
respuesta,tarea,'quizas deberia ser menos \"protagonico\"'
respuesta,tarea,'En la mayoria de los resumenes que lei, hablaba no de inductivo, ni de deductivo, ni de conexionista, sino partia el aprendizaje en dos, dando por cerrado que era inductivo, y los partia en \"supervisado - no supervisado\"'
respuesta,tarea,'Habíamos puesto la clasificación porque aparecia en todos lados y parecia como el más importante'
positiva,socio-emocional,'sisi, pero parecia hasta con letra mas grande'
positiva,socio-emocional,jajajjaa
respuesta,tarea,'puede ser..'
respuesta,tarea,'era porque estaba en arial, ahora lo deje todo en TimesNewRoman'
positiva,socio-emocional,'u.u se achica. jaja'
pregunta,tarea,'no se por que esa parte se ve como con un renglon en el medio'
positiva,socio-emocional,'te lo acomodo'
negativa,socio-emocional,'Les comento que soy un queso, poniendo \"lindo\" un doc, nunca fue bueno, nunca entendí como funcionaban los saltos de página, el puntitos, las sangrías, etc.'
positiva,socio-emocional,'por eso no se que hacer jaja'
positiva,socio-emocional,'no hay problema'
positiva,socio-emocional,'jajaja, yo soy rustica, pero me las rebusco...'
respuesta,tarea,'lo podemos acomodar un toque entre nosotros, y despues para ponerlo en pdf hay algun boton desde el docs'
respuesta,tarea,'si, hay'
respuesta,tarea,'espera que lo encuentre, pero hay'
positiva,socio-emocional,jajaa
pregunta,tarea,'sino copio el texto y lo pego en libreOffice'
respuesta,tarea,'con eso es solo apretar un boton'
respuesta,tarea,'pero hay un botón, es fácil'
respuesta,tarea,'download as... y podes elegir pdf'
positiva,socio-emocional,'lo viste?'
negativa,socio-emocional,'no, acomode las sangrias que estabas haciendo con espacio jajaja'
respuesta,tarea,'ahi esta'
respuesta,tarea,'Ahí quedó más lindo... te dije que soy rústica, igual algunas partes había justificado el texto, pero te quedó mejor a vos'
respuesta,tarea,'bien va quedando'
respuesta,tarea,http://www.medigraphic.com/pdfs/revalemex/ram-2014/ram142j.pdf
respuesta,tarea,'aca lei que las redes neuronales \"nadie sabe a ciencia cierta como funcionan\".'
positiva,socio-emocional,jaja
positiva,socio-emocional,jajajaja
respuesta,tarea,'creo que es sobre medicina, y hablan del poder de machine learning'
respuesta,tarea,'porque andaba buscando, si encontraba algun ejemplo o algo, para el 3, como para agrandarlo un poquito más, como que queda el hecho ahi en la base de datos, una consulta, y como que eso no se si es demostrar es ya machine learning.'
respuesta,tarea,'habia un pdf de los de ayer que estaba bueno, el de las pacientes embarazadas'
negativa,socio-emocional,'pero cambie de pc, y perdi los links'
pregunta,tarea,'si los tienen a mano, sino voy a buscar la otra pc'
positiva,socio-emocional,'ahora te los busco'
respuesta,tarea,https://www.cs.us.es/~jalonso/cursos/ra-00/temas/tema-10.pdf
respuesta,tarea,'este te decia yo'
pregunta,tarea,'algo asi como portada? no soy de colorear mucho jaja'
positiva,socio-emocional,'Si, esta bien.'
respuesta,tarea,'Solo te falta el número de grupo, que creo que es 8'
respuesta,tarea,'justo iba a decir lo del número .'
positiva,socio-emocional,'sisi, creio que es el 08.'
respuesta,tarea,'quedo joya.'
pregunta,tarea,'Juan que opinas vos del 3? de lo del ejemplo?'
respuesta,tarea,'lo dice arriba'
respuesta,tarea,'fijate lo que tengo agarrado en el ultimo ejemplo de aplicación .'
respuesta,tarea,'cuando dicen asserts, es muy de prolog . y ahí no habría que hacer referencia a un lenguaje'
respuesta,tarea,'me parece, más formal, tirar un se agregaría a los datos ya existentes, o algo asi.'
respuesta,tarea,'bueno, podés poner que se puede incluir'
positiva,socio-emocional,claro
respuesta,tarea,'si querés entre parentesis podes poner asserts a la base de datos, porque si o si va a haber una'
respuesta,tarea,'llamala BD, lista de conocimientos o com oquieras, pero se agrega ahi'
positiva,socio-emocional,'si, es cierto'
respuesta,tarea,'Pero la palabra \"asserts\" es una palabra reservada de un lenguaje especifico, que el tipo que no conoce prolog, no sabe que es incluir asserts'
negativa,socio-emocional,'como que eso no me cierra, igual no se como poder modificarlo.'
respuesta,tarea,'el asserts iría en el 3 por ejemplo'
pregunta,tarea,'resultados en lugar de asserts?'
pregunta,tarea,'la pregunta es, ponemos resultado? solucion? o que?'
respuesta,tarea,'lo estoy pensando'
negativa,socio-emocional,'chicos, me falla el hangouts'
respuesta,tarea,'me leen?'
positiva,socio-emocional,sisi
pregunta,tarea,'pero que es lo que no anda?'
negativa,socio-emocional,'ah, me había fallado esto...que porqueria! no tengo suerte'
respuesta,tarea,'les mandaba y decía que no se pudo enviar mi mensaje'
negativa,socio-emocional,'estás complicado con los chats ultimamente.'
negativa,socio-emocional,complicadA
positiva,socio-emocional,jaja
positiva,socio-emocional,jajaja
positiva,socio-emocional,si
respuesta,tarea,'Bueno, me parece que ya quedó bien'
positiva,socio-emocional,'Sisi .'
pregunta,tarea,'No encuentro algo más como para agregarle al 3 .'
pregunta,tarea,'quién de ustedes es el que se pone el equipo al hombro, y manda el pdf ?'
positiva,socio-emocional,jajaja
positiva,socio-emocional,'Si quieren lo mando'
respuesta,tarea,'es lo mismo'
respuesta,tarea,'si, por el mismo mail que nos mandaron ellos'
respuesta,tarea,'asi nos queda copia a todos'
respuesta,tarea,'Tenes que cambiar el \"asunto\"'
pregunta,tarea,'Dale, lo cerramos ahi al trabajo?'
pregunta,tarea,'Lo paso a pdf?'
respuesta,tarea,'Manda separado y fue, bajate una copia Juan, haciendo file-download as y listo.'
respuesta,tarea,'Porqe cuando respondes, el mail de ellos no se si podes cambiar el asunto .'
pregunta,tarea,'mm si o no ? o esperamos, a no sé, que nos confirmen el resto, total solo es mandar un mail.'
respuesta,tarea,'Hay un chico que no lo hace'
respuesta,tarea,'y faltaría que aparezca Tobias'
respuesta,tarea,'Yo esperaria, y mañana tardesita/noche mandamos y listo.'
pregunta,tarea,'no se, por si el chabon le pinta alguna idea buena, o no se para que no se cierre su participan YA'
positiva,socio-emocional,'Está bien, me parece bien'
respuesta,tarea,'Hay tiempo para entregar'
pregunta,tarea,'El tema es como nos comunicamos entre nosotros... ponemos otro día para conectarnos?'
pregunta,tarea,'lo que si mañana avisen cuando lo mandan'
respuesta,tarea,'claro, y por ahí el chabon anduvo cuelgue, por x motivo, y hoy o mañana temprano se le ocurre algo'
negativa,socio-emocional,'mientras no nos modifique todo, jaja'
positiva,socio-emocional,Jajaja
pregunta,tarea,'Bueno, como fecha límite...¿cuando lo mandamos?'
pregunta,tarea,'¿mañana a la tarde, sábado a la mañana?'
respuesta,tarea,'Yo para poner un momento, que nos conectemos todos para ver como está y enviarlo de una vez'
respuesta,tarea,'mañana a la tardesita/noche me va más .'
respuesta,tarea,'Bueno, ¿a qué hora pueden?'
respuesta,tarea,'estoy bastante al pedo, cuando gusten .'
positiva,socio-emocional,'Yo también'
pregunta,tarea,'dejo algun comentario en el doc ?'
positiva,socio-emocional,'dale, mañana a las 7.'
respuesta,tarea,'Por tirar una hora'
respuesta,tarea,'Si querés deja, por si entra Tobias...'
positiva,socio-emocional,'Dale, me pongo alarma porque hoy casi se me pasa la hora'
positiva,socio-emocional,'yo tambien jajaaj'
pregunta,tarea,'Tiro un, \"mañana a las 7 nos conectamos para ya enviarlo, si se quiere agregar o modificar algo, poner comentarios y mañana lo discutimos\"'
positiva,socio-emocional,'Dale, bárbaro'
respuesta,tarea,'y de paso tenemos un tiempito más para pensar si nos conforma el ejemplo del 3 o si le agregamos algo'
positiva,socio-emocional,'dale dale .'
positiva,socio-emocional,'bueno, entonces nos encontramos mañana again .'
positiva,socio-emocional,'Hasta mañana chicos'
positiva,socio-emocional,'hasta mañana!'
respuesta,tarea,'podemos poner como una justificacion antes del ejemplo que el hecho de que javalog permita trabajar con predicados metalogicos es el que permite incorporar la inteligencia artificial'
positiva,socio-emocional,'Sí, me parece buena idea!'
pregunta,tarea,'que son predicados \"metalogicos\"'
respuesta,tarea,'estos predicados son assert y retract.'
respuesta,tarea,'A continuacion se presenta un ejemplo de utilizacion de estos predicados para lograr aprendizaje automatico'
positiva,socio-emocional,'no sabia que se llamaban asi, bien me gusta!'
positiva,socio-emocional,'todos los dias se aprende algo nuevo.'
respuesta,tarea,'lo de predicados \"metalogicos\" lo encontre en la teoria colo, se me dio por buscar'
positiva,socio-emocional,'hasta mañana'
respuesta,tarea,'se conectaron recien lo de prog. exploratoria, se perdieron toda la acción!'
positiva,socio-emocional,jajaja
positiva,socio-emocional,si
positiva,socio-emocional,'buenisimo lo que pusiste Juan!'
respuesta,tarea,'Está para agregarlo, de última lo agregamos mañana'
respuesta,tarea,'Creo que se fue'
pregunta,tarea,'Bueno, lo esperamos mañana para ponerlo? o lo ponemos entre { }'
respuesta,tarea,'Lo esperamos, por ahi se puso a hacer una idea, andaba con los cuadernos por lo que dijo.'
respuesta,tarea,'\"lo esperamos\" mañana'
pregunta,tarea,'por hoy ya esta o no ? xD'
positiva,socio-emocional,'Dale, me parece bien, nos encontramos mañana a las 7 por acá!'
positiva,socio-emocional,'dale, dale .'
positiva,socio-emocional,'bueno hasta mañana!'
positiva,socio-emocional,'Hasta mañana!!'
positiva,socio-emocional,Hola
positiva,socio-emocional,'hola, como va?'
positiva,socio-emocional,Buenass!
positiva,socio-emocional,'que puntualidad.'
positiva,socio-emocional,'Jajaja, alarma de por medio'
positiva,socio-emocional,'jjaja, yo estaba leyendo lo del juego'
respuesta,tarea,'es como el que hacemos con las cartas'
respuesta,tarea,'Yo tire en el chat nuevo que me agregaron, para organizarnos, y ahi vamos comentando, va a estar dificil, 8 personas acordar un horario'
respuesta,tarea,'ah, yo ayer quise leerlo y no pude..'
respuesta,tarea,'si, yo por ejemplo en el horario que me habian asignado no podia porque tengo el prefinal de Sistemas'
respuesta,tarea,'Claro pero ahora no es mas ese horario, hay que organizarse y completar una tablita que ellos pusieron'
positiva,socio-emocional,'claro, lo vi'
pregunta,tarea,'bueno, les parece agregar lo que escribi ayer aca?'
positiva,socio-emocional,'Si, me parece buena idea, estaba bueno'
positiva,socio-emocional,'sisi, en el otro chat estoy hablando con tobias para que venga para aca'
negativa,socio-emocional,'EEEEEE!!! joda joda !'
positiva,socio-emocional,'jajaj lo encontre'
positiva,socio-emocional,'bien ahi'
negativa,socio-emocional,'ea por fin.'
respuesta,tarea,'bueno ahora tenes que leer todo el historial..'
respuesta,tarea,'Na, basicamente, ya casi que esta listo el tp, Juan va a agregar algo al 3.'
respuesta,tarea,'y deciamos de ya hoy mandarlo .'
pregunta,tarea,ahi?
positiva,socio-emocional,'Perfecto! re bien!'
positiva,socio-emocional,si
respuesta,tarea,'capaz podriamos buscar otra palabra para poner.. porque queda permita trabajar con predicados metalógicos es el que permite'
positiva,socio-emocional,'una pavada igual, pero capaz que a alguien se le ocurre un sinónimo y queda más lindo'
positiva,socio-emocional,'buena Juan Cruz!'
positiva,socio-emocional,jajaja
respuesta,tarea,'bueno ahora si'
pregunta,tarea,descargo?
pregunta,tarea,'Estamos todos de acuerdo? alguna cosa más para sugerir?'
respuesta,tarea,'el \"es el que permite..\" como que, sacaria \"es el que\", directamente permite.'
positiva,socio-emocional,'si, o es lo que permite o naa'
respuesta,tarea,'o nada...queda medio raro'
positiva,socio-emocional,'chicos disculpen .. pense q nos conectabamos a las 7 y uds estan desde las 5 y pico aca.. mmmm.. se supone que el que lo que estamos escribiendo es para alguien que sabe del tema no?'
respuesta,tarea,'No, de las 7 estamos, a las 5 estabamos ayer.'
respuesta,tarea,'claro, ayer quedamos para las 5, por eso'
respuesta,tarea,'le borre el \"se\" del \"se permite\"'
positiva,socio-emocional,'lo vi, esta bien u.u'
pregunta,tarea,'bueno, ¿qué les parece? ya estaria, ¿no?'
respuesta,tarea,'lo descargo, ya fue'
positiva,socio-emocional,'Bueno, por mi si'
respuesta,tarea,'Me parece que ya quedó bien'
pregunta,tarea,'Para, comoo para alguien que sabe del tema tobias ?'
positiva,socio-emocional,'perdon que colgue'
respuesta,tarea,'claro.. pq ponele..si yo leo predicados metalogicos .. asi descolgado y no se un pomo del tema por ahi se esta introduciendo un tema sin aclarar a que se refiere'
pregunta,tarea,'pera, entonces no estas seguro que lo mande todavia?'
respuesta,tarea,'ahora.. si se supone que el destinatario del proyecto tiene ciertos conocimientos todo bien'
respuesta,tarea,'igual se supone que es para los de exploratoria'
respuesta,tarea,'aa listo joya entonces, solo tenia esa duda'
respuesta,tarea,'pero dice cuales son los predicados metalogicos...'
respuesta,tarea,'dice que son el assert y el retract'
respuesta,tarea,'Na si, o sea, a ver es una manera formal, de como se clasifican esos tipos de predicados, si no tenes idea que es prolog, tampoco sabes que es un predicado.'
negativa,socio-emocional,'de ultima lo lee alguien con internet, que tiene la facilidad de googlear las palabras que no conozca y listo'
positiva,socio-emocional,ajajaja
respuesta,tarea,'Pero a mi me parece que queda claro con eso... la frase dice \"assert y retract\" alguien que no sabe nada no puede entender la pregunta de si se puede usar prolog...'
negativa,socio-emocional,'mi madre me bloqueo google un dia que se enteró que me escape de la clase de ingles en la secundaria..'
positiva,socio-emocional,'lo tenian re cortito'
respuesta,tarea,'joya entonces! mandale ;)'
negativa,socio-emocional,'Empeza a descolgarte tobias!! jaja'
negativa,socio-emocional,'amigate con hangouts que nos estan chusmeando'
respuesta,tarea,'Bueno, lo mandamos entonces'
positiva,socio-emocional,dale
pregunta,tarea,'Juan lo mandas vos o lo mando yo?'
positiva,socio-emocional,yoyo
positiva,socio-emocional,'Ok, bárbaro'
respuesta,tarea,'el mensaje fue enviado'
positiva,socio-emocional,'Bueno chicos, buenisimo'
pregunta,tarea,'Cualquier cosa respecto a este trabajo nos podemos comunicar por mail, no?'
positiva,socio-emocional,'un gusto haber trabajado con ustedes'
pregunta,tarea,'en el pdf, lo amarillo y eso de los comentarios no esta no ?'
respuesta,tarea,'no, nada'
positiva,socio-emocional,buena!
positiva,socio-emocional,felicitaciones!
positiva,socio-emocional,'Bien , felicitaciones'
positiva,socio-emocional,'Bueno chicos, me despido, nos estamos viendo, nos encontraremos en algub otro tp'
positiva,socio-emocional,gracias
positiva,socio-emocional,dale.
positiva,socio-emocional,'Nos vemos chicos'
positiva,socio-emocional,'jaja dale ! suerte colo, nos estamos viendo chicos'
respuesta,tarea,'Si te responden o algo del mail con el tp juan, tiralo por aca'
positiva,socio-emocional,'Bueno chicos, un gusto!'
positiva,socio-emocional,Suerte!
positiva,socio-emocional,'sisi, no te preocupes'
positiva,socio-emocional,'yo les aviso'
positiva,socio-emocional,'Dale, saludos!'
respuesta,tarea,'hasta ahora no dijeron nada'
respuesta,tarea,'Hola. Estuve investigando y complete un poco los ejemplos y el punto 3. No se si estará bien justificado. Voy a estar conectado por cualquier cosa.'
positiva,socio-emocional,'Para mi esta bien, a ver si los chicos que faltan pueden agregar algo más de ser necesario'
pregunta,tarea,'Hola. Voy enviando el tp1 si quieren.'
pregunta,tarea,'No se quieren agregar algo mas?'
positiva,socio-emocional,'Dale, iba a decir lo mismo'
positiva,socio-emocional,'Voy agregando los nombres en el documento'
respuesta,tarea,'Esperamos un poco y lo enviamos mas a la tarde'
respuesta,tarea,'Yo deje un comentario ayer y nadie contesto asi que dudo que quieran agregar algo más. Pero si esperemos por las dudas. Si no aparecen para las cuatro ya fue'
respuesta,tarea,'Che mandalo'
pregunta,tarea,'O querés que lo mande yo?'
respuesta,tarea,'Mandalo si podes. Ahora yo no puedo'
positiva,socio-emocional,'Dale no te hagas drama'
positiva,socio-emocional,'Buenas! Alguien conectado?'
positiva,socio-emocional,'Hola chicos mi nombre es Adrian Quevedo'
respuesta,tarea,'estoy de acuerdo con Baltasar en que la idea es trabajar directamente sobre google docs utilizando todo lo que este a nuestra dispocicion en google docs'
respuesta,tarea,'yo ya busque informacion en sobre learning machine ahora subo el material y hago una introducion'
respuesta,tarea,'si ven algo incorrecto modifiquen y agreguen lo que quieran'
positiva,socio-emocional,'Bueno dale!'
respuesta,tarea,'De a poco vamos apareciendo, faltan 2.'
respuesta,tarea,'si, yo lo vi ayer y empece a buscar algo de informacion sobre el punto 1 y algo encontre aunque no mucho. esperemos aparescan todos'
respuesta,tarea,'acá les envió la información que utilice'
respuesta,tarea,http://www.dc.uba.ar/materias/aa/2011/cuat2
respuesta,tarea,'es del departamento de computacion de la UBA asi que creo debe estar bien'
respuesta,tarea,http://dis.unal.edu.co/~fgonza/courses/2007-I/ml/
respuesta,tarea,'las filminas introduccion I y II'
positiva,socio-emocional,'Buenisimo yo estaba leyendo exactamente eso'
respuesta,tarea,http://www.lsi.upc.edu/~bejar/ia/transpas/teoria/6-AP-aprendizaje.pdf
respuesta,tarea,'hagamos en el pie del doc unos links de referencia'
positiva,socio-emocional,'dale sisi yo me base en todos link para hacer esa definicion si alguno utiliza alguno mas agregelo'
respuesta,tarea,'y por supuesto tambien use wikipedia'
respuesta,tarea,'http://es.wikipedia.org/wiki/Aprendizaje_autom\%C3\%A1tico'
respuesta,tarea,'Durante la última teoría se mencionó el tema Aprendizaje de Máquinas (machine learning) como parte del área de Inteligencia Artificial.'
respuesta,tarea,'Buscar información sobre machine learning y redacten con sus palabras una definición de machine learning.'
respuesta,tarea,'Al final del doc hay varios links de referencia para leer, tambien se pueden agregar! como para que caa uno lea y saque en limpio que entiende por \"Machine Learning\"'
respuesta,tarea,'Chicos nos habilitaron el chat de grupo en hangouts por si lo queremos usar!! que les resulta mas comodo?'
respuesta,tarea,'Estamos todos en el grupo del chat'
positiva,socio-emocional,'Ahora voy a avisar por google docs que podemos usar este chat'
respuesta,tarea,'A mi ya me llego el la invitación creo que les fue enviada a todos'
respuesta,tarea,'ahi agregue algunas tecnicas de aprendizaje, en la definicion.'
respuesta,tarea,'chicos estuve buscando algo de info sobre y encontre algo interesante sobre AA en medicina'
respuesta,tarea,'estaria bueno si me dijeran que les parecio la parte de la robotica'
negativa,socio-emocional,'el problema es que son bastante horribles para redactar.'
respuesta,tarea,'si alguien lo quiere modificar para que se entienda mejor, no tengo problemas.'
