@relation chat

@attribute class_area {socio-emocional,tarea}
@attribute mensaje string

@data
socio-emocional,'tener 2 cosas y cada una por su lado :S'
socio-emocional,se
socio-emocional,'tiene buenos emoticones, eso si. xD'
socio-emocional,'jaja, es verdad'
tarea,'Los que no están en el doc, son los de progr. exploratoria, estaban siempre.'
socio-emocional,'es verdad'
tarea,'bueno, vamos retocando?'
socio-emocional,Dale
tarea,'chicos, la definición de wikipedia con la definición de redes neuranales vuela, no? con lo que arreglaron ayer entre parentesis se entiende...'
tarea,'para mi vuela'
socio-emocional,'Se, vuela.'
socio-emocional,Ok
tarea,'me parece raro que aprendizaje inductivo quede tan grande, es una de las sub-ramas'
tarea,'quizas deberia ser menos \"protagonico\"'
tarea,'En la mayoria de los resumenes que lei, hablaba no de inductivo, ni de deductivo, ni de conexionista, sino partia el aprendizaje en dos, dando por cerrado que era inductivo, y los partia en \"supervisado - no supervisado\"'
tarea,'Habíamos puesto la clasificación porque aparecia en todos lados y parecia como el más importante'
socio-emocional,'sisi, pero parecia hasta con letra mas grande'
socio-emocional,jajajjaa
tarea,'puede ser..'
tarea,'era porque estaba en arial, ahora lo deje todo en TimesNewRoman'
socio-emocional,'u.u se achica. jaja'
tarea,'no se por que esa parte se ve como con un renglon en el medio'
socio-emocional,'te lo acomodo'
socio-emocional,'Les comento que soy un queso, poniendo \"lindo\" un doc, nunca fue bueno, nunca entendí como funcionaban los saltos de página, el puntitos, las sangrías, etc.'
socio-emocional,'por eso no se que hacer jaja'
socio-emocional,'no hay problema'
socio-emocional,'jajaja, yo soy rustica, pero me las rebusco...'
tarea,'lo podemos acomodar un toque entre nosotros, y despues para ponerlo en pdf hay algun boton desde el docs'
tarea,'si, hay'
tarea,'espera que lo encuentre, pero hay'
socio-emocional,jajaa
tarea,'sino copio el texto y lo pego en libreOffice'
tarea,'con eso es solo apretar un boton'
tarea,'pero hay un botón, es fácil'
tarea,'download as... y podes elegir pdf'
socio-emocional,'lo viste?'
socio-emocional,'no, acomode las sangrias que estabas haciendo con espacio jajaja'
tarea,'ahi esta'
tarea,'Ahí quedó más lindo... te dije que soy rústica, igual algunas partes había justificado el texto, pero te quedó mejor a vos'
tarea,'bien va quedando'
tarea,http://www.medigraphic.com/pdfs/revalemex/ram-2014/ram142j.pdf
tarea,'aca lei que las redes neuronales \"nadie sabe a ciencia cierta como funcionan\".'
socio-emocional,jaja
socio-emocional,jajajaja
tarea,'creo que es sobre medicina, y hablan del poder de machine learning'
tarea,'porque andaba buscando, si encontraba algun ejemplo o algo, para el 3, como para agrandarlo un poquito más, como que queda el hecho ahi en la base de datos, una consulta, y como que eso no se si es demostrar es ya machine learning.'
tarea,'habia un pdf de los de ayer que estaba bueno, el de las pacientes embarazadas'
socio-emocional,'pero cambie de pc, y perdi los links'
tarea,'si los tienen a mano, sino voy a buscar la otra pc'
socio-emocional,'ahora te los busco'
tarea,https://www.cs.us.es/~jalonso/cursos/ra-00/temas/tema-10.pdf
tarea,'este te decia yo'
tarea,'algo asi como portada? no soy de colorear mucho jaja'
socio-emocional,'Si, esta bien.'
tarea,'Solo te falta el número de grupo, que creo que es 8'
tarea,'justo iba a decir lo del número .'
socio-emocional,'sisi, creio que es el 08.'
tarea,'quedo joya.'
tarea,'Juan que opinas vos del 3? de lo del ejemplo?'
tarea,'lo dice arriba'
tarea,'fijate lo que tengo agarrado en el ultimo ejemplo de aplicación .'
tarea,'cuando dicen asserts, es muy de prolog . y ahí no habría que hacer referencia a un lenguaje'
tarea,'me parece, más formal, tirar un se agregaría a los datos ya existentes, o algo asi.'
tarea,'bueno, podés poner que se puede incluir'
socio-emocional,claro
tarea,'si querés entre parentesis podes poner asserts a la base de datos, porque si o si va a haber una'
tarea,'llamala BD, lista de conocimientos o com oquieras, pero se agrega ahi'
socio-emocional,'si, es cierto'
tarea,'Pero la palabra \"asserts\" es una palabra reservada de un lenguaje especifico, que el tipo que no conoce prolog, no sabe que es incluir asserts'
socio-emocional,'como que eso no me cierra, igual no se como poder modificarlo.'
tarea,'el asserts iría en el 3 por ejemplo'
tarea,'resultados en lugar de asserts?'
tarea,'la pregunta es, ponemos resultado? solucion? o que?'
tarea,'lo estoy pensando'
socio-emocional,'chicos, me falla el hangouts'
tarea,'me leen?'
socio-emocional,sisi
tarea,'pero que es lo que no anda?'
socio-emocional,'ah, me había fallado esto...que porqueria! no tengo suerte'
tarea,'les mandaba y decía que no se pudo enviar mi mensaje'
socio-emocional,'estás complicado con los chats ultimamente.'
socio-emocional,complicadA
socio-emocional,jaja
socio-emocional,jajaja
socio-emocional,si
tarea,'Bueno, me parece que ya quedó bien'
socio-emocional,'Sisi .'
tarea,'No encuentro algo más como para agregarle al 3 .'
tarea,'quién de ustedes es el que se pone el equipo al hombro, y manda el pdf ?'
socio-emocional,jajaja
socio-emocional,'Si quieren lo mando'
tarea,'es lo mismo'
tarea,'si, por el mismo mail que nos mandaron ellos'
tarea,'asi nos queda copia a todos'
tarea,'Tenes que cambiar el \"asunto\"'
tarea,'Dale, lo cerramos ahi al trabajo?'
tarea,'Lo paso a pdf?'
tarea,'Manda separado y fue, bajate una copia Juan, haciendo file-download as y listo.'
tarea,'Porqe cuando respondes, el mail de ellos no se si podes cambiar el asunto .'
tarea,'mm si o no ? o esperamos, a no sé, que nos confirmen el resto, total solo es mandar un mail.'
tarea,'Hay un chico que no lo hace'
tarea,'y faltaría que aparezca Tobias'
tarea,'Yo esperaria, y mañana tardesita/noche mandamos y listo.'
tarea,'no se, por si el chabon le pinta alguna idea buena, o no se para que no se cierre su participan YA'
socio-emocional,'Está bien, me parece bien'
tarea,'Hay tiempo para entregar'
tarea,'El tema es como nos comunicamos entre nosotros... ponemos otro día para conectarnos?'
tarea,'lo que si mañana avisen cuando lo mandan'
tarea,'claro, y por ahí el chabon anduvo cuelgue, por x motivo, y hoy o mañana temprano se le ocurre algo'
socio-emocional,'mientras no nos modifique todo, jaja'
socio-emocional,Jajaja
tarea,'Bueno, como fecha límite...¿cuando lo mandamos?'
tarea,'¿mañana a la tarde, sábado a la mañana?'
tarea,'Yo para poner un momento, que nos conectemos todos para ver como está y enviarlo de una vez'
tarea,'mañana a la tardesita/noche me va más .'
tarea,'Bueno, ¿a qué hora pueden?'
tarea,'estoy bastante al pedo, cuando gusten .'
socio-emocional,'Yo también'
tarea,'dejo algun comentario en el doc ?'
socio-emocional,'dale, mañana a las 7.'
tarea,'Por tirar una hora'
tarea,'Si querés deja, por si entra Tobias...'
socio-emocional,'Dale, me pongo alarma porque hoy casi se me pasa la hora'
socio-emocional,'yo tambien jajaaj'
tarea,'Tiro un, \"mañana a las 7 nos conectamos para ya enviarlo, si se quiere agregar o modificar algo, poner comentarios y mañana lo discutimos\"'
socio-emocional,'Dale, bárbaro'
tarea,'y de paso tenemos un tiempito más para pensar si nos conforma el ejemplo del 3 o si le agregamos algo'
socio-emocional,'dale dale .'
socio-emocional,'bueno, entonces nos encontramos mañana again .'
socio-emocional,'Hasta mañana chicos'
socio-emocional,'hasta mañana!'
tarea,'podemos poner como una justificacion antes del ejemplo que el hecho de que javalog permita trabajar con predicados metalogicos es el que permite incorporar la inteligencia artificial'
socio-emocional,'Sí, me parece buena idea!'
tarea,'que son predicados \"metalogicos\"'
tarea,'estos predicados son assert y retract.'
tarea,'A continuacion se presenta un ejemplo de utilizacion de estos predicados para lograr aprendizaje automatico'
socio-emocional,'no sabia que se llamaban asi, bien me gusta!'
socio-emocional,'todos los dias se aprende algo nuevo.'
tarea,'lo de predicados \"metalogicos\" lo encontre en la teoria colo, se me dio por buscar'
socio-emocional,'hasta mañana'
tarea,'se conectaron recien lo de prog. exploratoria, se perdieron toda la acción!'
socio-emocional,jajaja
socio-emocional,si
socio-emocional,'buenisimo lo que pusiste Juan!'
tarea,'Está para agregarlo, de última lo agregamos mañana'
tarea,'Creo que se fue'
tarea,'Bueno, lo esperamos mañana para ponerlo? o lo ponemos entre { }'
tarea,'Lo esperamos, por ahi se puso a hacer una idea, andaba con los cuadernos por lo que dijo.'
tarea,'\"lo esperamos\" mañana'
tarea,'por hoy ya esta o no ? xD'
socio-emocional,'Dale, me parece bien, nos encontramos mañana a las 7 por acá!'
socio-emocional,'dale, dale .'
socio-emocional,'bueno hasta mañana!'
socio-emocional,'Hasta mañana!!'
socio-emocional,Hola
socio-emocional,'hola, como va?'
socio-emocional,Buenass!
socio-emocional,'que puntualidad.'
socio-emocional,'Jajaja, alarma de por medio'
socio-emocional,'jjaja, yo estaba leyendo lo del juego'
tarea,'es como el que hacemos con las cartas'
tarea,'Yo tire en el chat nuevo que me agregaron, para organizarnos, y ahi vamos comentando, va a estar dificil, 8 personas acordar un horario'
tarea,'ah, yo ayer quise leerlo y no pude..'
tarea,'si, yo por ejemplo en el horario que me habian asignado no podia porque tengo el prefinal de Sistemas'
tarea,'Claro pero ahora no es mas ese horario, hay que organizarse y completar una tablita que ellos pusieron'
socio-emocional,'claro, lo vi'
tarea,'bueno, les parece agregar lo que escribi ayer aca?'
socio-emocional,'Si, me parece buena idea, estaba bueno'
socio-emocional,'sisi, en el otro chat estoy hablando con tobias para que venga para aca'
socio-emocional,'EEEEEE!!! joda joda !'
socio-emocional,'jajaj lo encontre'
socio-emocional,'bien ahi'
socio-emocional,'ea por fin.'
tarea,'bueno ahora tenes que leer todo el historial..'
tarea,'Na, basicamente, ya casi que esta listo el tp, Juan va a agregar algo al 3.'
tarea,'y deciamos de ya hoy mandarlo .'
tarea,ahi?
socio-emocional,'Perfecto! re bien!'
socio-emocional,si
tarea,'capaz podriamos buscar otra palabra para poner.. porque queda permita trabajar con predicados metalógicos es el que permite'
socio-emocional,'una pavada igual, pero capaz que a alguien se le ocurre un sinónimo y queda más lindo'
socio-emocional,'buena Juan Cruz!'
socio-emocional,jajaja
tarea,'bueno ahora si'
tarea,descargo?
tarea,'Estamos todos de acuerdo? alguna cosa más para sugerir?'
tarea,'el \"es el que permite..\" como que, sacaria \"es el que\", directamente permite.'
socio-emocional,'si, o es lo que permite o naa'
tarea,'o nada...queda medio raro'
socio-emocional,'chicos disculpen .. pense q nos conectabamos a las 7 y uds estan desde las 5 y pico aca.. mmmm.. se supone que el que lo que estamos escribiendo es para alguien que sabe del tema no?'
tarea,'No, de las 7 estamos, a las 5 estabamos ayer.'
tarea,'claro, ayer quedamos para las 5, por eso'
tarea,'le borre el \"se\" del \"se permite\"'
socio-emocional,'lo vi, esta bien u.u'
tarea,'bueno, ¿qué les parece? ya estaria, ¿no?'
tarea,'lo descargo, ya fue'
socio-emocional,'Bueno, por mi si'
tarea,'Me parece que ya quedó bien'
tarea,'Para, comoo para alguien que sabe del tema tobias ?'
socio-emocional,'perdon que colgue'
tarea,'claro.. pq ponele..si yo leo predicados metalogicos .. asi descolgado y no se un pomo del tema por ahi se esta introduciendo un tema sin aclarar a que se refiere'
tarea,'pera, entonces no estas seguro que lo mande todavia?'
tarea,'ahora.. si se supone que el destinatario del proyecto tiene ciertos conocimientos todo bien'
tarea,'igual se supone que es para los de exploratoria'
tarea,'aa listo joya entonces, solo tenia esa duda'
tarea,'pero dice cuales son los predicados metalogicos...'
tarea,'dice que son el assert y el retract'
tarea,'Na si, o sea, a ver es una manera formal, de como se clasifican esos tipos de predicados, si no tenes idea que es prolog, tampoco sabes que es un predicado.'
socio-emocional,'de ultima lo lee alguien con internet, que tiene la facilidad de googlear las palabras que no conozca y listo'
socio-emocional,ajajaja
tarea,'Pero a mi me parece que queda claro con eso... la frase dice \"assert y retract\" alguien que no sabe nada no puede entender la pregunta de si se puede usar prolog...'
socio-emocional,'mi madre me bloqueo google un dia que se enteró que me escape de la clase de ingles en la secundaria..'
socio-emocional,'lo tenian re cortito'
tarea,'joya entonces! mandale ;)'
socio-emocional,'Empeza a descolgarte tobias!! jaja'
socio-emocional,'amigate con hangouts que nos estan chusmeando'
tarea,'Bueno, lo mandamos entonces'
socio-emocional,dale
tarea,'Juan lo mandas vos o lo mando yo?'
socio-emocional,yoyo
socio-emocional,'Ok, bárbaro'
tarea,'el mensaje fue enviado'
socio-emocional,'Bueno chicos, buenisimo'
tarea,'Cualquier cosa respecto a este trabajo nos podemos comunicar por mail, no?'
socio-emocional,'un gusto haber trabajado con ustedes'
tarea,'en el pdf, lo amarillo y eso de los comentarios no esta no ?'
tarea,'no, nada'
socio-emocional,buena!
socio-emocional,felicitaciones!
socio-emocional,'Bien , felicitaciones'
socio-emocional,'Bueno chicos, me despido, nos estamos viendo, nos encontraremos en algub otro tp'
socio-emocional,gracias
socio-emocional,dale.
socio-emocional,'Nos vemos chicos'
socio-emocional,'jaja dale ! suerte colo, nos estamos viendo chicos'
tarea,'Si te responden o algo del mail con el tp juan, tiralo por aca'
socio-emocional,'Bueno chicos, un gusto!'
socio-emocional,Suerte!
socio-emocional,'sisi, no te preocupes'
socio-emocional,'yo les aviso'
socio-emocional,'Dale, saludos!'
tarea,'hasta ahora no dijeron nada'
tarea,'Hola. Estuve investigando y complete un poco los ejemplos y el punto 3. No se si estará bien justificado. Voy a estar conectado por cualquier cosa.'
socio-emocional,'Para mi esta bien, a ver si los chicos que faltan pueden agregar algo más de ser necesario'
tarea,'Hola. Voy enviando el tp1 si quieren.'
tarea,'No se quieren agregar algo mas?'
socio-emocional,'Dale, iba a decir lo mismo'
socio-emocional,'Voy agregando los nombres en el documento'
tarea,'Esperamos un poco y lo enviamos mas a la tarde'
tarea,'Yo deje un comentario ayer y nadie contesto asi que dudo que quieran agregar algo más. Pero si esperemos por las dudas. Si no aparecen para las cuatro ya fue'
tarea,'Che mandalo'
tarea,'O querés que lo mande yo?'
tarea,'Mandalo si podes. Ahora yo no puedo'
socio-emocional,'Dale no te hagas drama'
socio-emocional,'Buenas! Alguien conectado?'
socio-emocional,'Hola chicos mi nombre es Adrian Quevedo'
tarea,'estoy de acuerdo con Baltasar en que la idea es trabajar directamente sobre google docs utilizando todo lo que este a nuestra dispocicion en google docs'
tarea,'yo ya busque informacion en sobre learning machine ahora subo el material y hago una introducion'
tarea,'si ven algo incorrecto modifiquen y agreguen lo que quieran'
socio-emocional,'Bueno dale!'
tarea,'De a poco vamos apareciendo, faltan 2.'
tarea,'si, yo lo vi ayer y empece a buscar algo de informacion sobre el punto 1 y algo encontre aunque no mucho. esperemos aparescan todos'
tarea,'acá les envió la información que utilice'
tarea,http://www.dc.uba.ar/materias/aa/2011/cuat2
tarea,'es del departamento de computacion de la UBA asi que creo debe estar bien'
tarea,http://dis.unal.edu.co/~fgonza/courses/2007-I/ml/
tarea,'las filminas introduccion I y II'
socio-emocional,'Buenisimo yo estaba leyendo exactamente eso'
tarea,http://www.lsi.upc.edu/~bejar/ia/transpas/teoria/6-AP-aprendizaje.pdf
tarea,'hagamos en el pie del doc unos links de referencia'
socio-emocional,'dale sisi yo me base en todos link para hacer esa definicion si alguno utiliza alguno mas agregelo'
tarea,'y por supuesto tambien use wikipedia'
tarea,'http://es.wikipedia.org/wiki/Aprendizaje_autom\%C3\%A1tico'
tarea,'Durante la última teoría se mencionó el tema Aprendizaje de Máquinas (machine learning) como parte del área de Inteligencia Artificial.'
tarea,'Buscar información sobre machine learning y redacten con sus palabras una definición de machine learning.'
tarea,'Al final del doc hay varios links de referencia para leer, tambien se pueden agregar! como para que caa uno lea y saque en limpio que entiende por \"Machine Learning\"'
tarea,'Chicos nos habilitaron el chat de grupo en hangouts por si lo queremos usar!! que les resulta mas comodo?'
tarea,'Estamos todos en el grupo del chat'
socio-emocional,'Ahora voy a avisar por google docs que podemos usar este chat'
tarea,'A mi ya me llego el la invitación creo que les fue enviada a todos'
tarea,'ahi agregue algunas tecnicas de aprendizaje, en la definicion.'
tarea,'chicos estuve buscando algo de info sobre y encontre algo interesante sobre AA en medicina'
tarea,'estaria bueno si me dijeran que les parecio la parte de la robotica'
socio-emocional,'el problema es que son bastante horribles para redactar.'
tarea,'si alguien lo quiere modificar para que se entienda mejor, no tengo problemas.'
tarea,'si yo no tengo problema osea yo escribo lo que voy encontrando pero el objetivo es ese'
tarea,'que vayamos modificando lo del otro'
tarea,'¿cual es la parte que no te cierra de la redaccion asi veo si la puedo mejorar?'
tarea,'la parte en la que \"Para que esas experiencias pasadas,datos sin sentido, se conviertan en conocimiento\"'
socio-emocional,'ok ahora modifico esa parte'
tarea,'http://www.giaa.inf.uc3m.es/investigacion/publicaciones/congresos/nacionales/Berlanga-caepia-1999.pdf este el el link de donde saque la info sobre ML en robotica'
tarea,'http://www.medigraphic.com/pdfs/revalemex/ram-2014/ram142j.pdf este link trata sobre ML en medicina si alguin lo pudiera leer creo que estaria interesane para la parte de las aplicaciones'
socio-emocional,'dale , genial ahora le pego una leida'
socio-emocional,joya
socio-emocional,'estas ?'
tarea,'si estoy'
tarea,'se ve lo que agregue ?'
tarea,'o le tengo que dar compartir ?'
tarea,'no tengo mucha idea del google docs'
tarea,'donde agregaste algo asi me fijo'
tarea,'yo tampoco, estamos todos igual'
socio-emocional,'yo escribo directamente sobre el documento'
tarea,'en el primer parrafo agregue esto:'
tarea,'Para que esas experiencias pasadas y datos se conviertan en conocimiento necesitan ser procesados y analizados a través de métodos estadísticos complejos.Algunas de esas técnicas son: razonamiento basado en casos, redes neuronales artificiales, clasificadores bayesianos, regresión logística multivariante, entre otras.'
tarea,'lo ves ?'
socio-emocional,'sisi se ve'
socio-emocional,buenisimo
tarea,'cuando modificas el tp se ve en tiempo real'
tarea,'sisi, yo veo cuando vos escribis'
tarea,'pero no tenia idea si pasaba lo mismo conmigo'
socio-emocional,'si al principio tenia la misma duda'
tarea,'estuve buscando algo como para responder la pregunta 3 pero no encuentro nada'
tarea,'mira , yo creo que esa pregunta es mas de opinion y no tanta investigacion'
tarea,'y lo que yo creo.. es que'
tarea,'claro osea en mi opinion es que si se puede'
tarea,'pero no se muy bien como fundamentarla'
tarea,'para dominio pequeño , prolog anda perfecto..'
tarea,'el tema es cuando hay grandes cantidades de datos'
tarea,'claro el problema es cuando el dominio crece'
tarea,'y ahi es cuando prolog nose si tomaria una desicion correcta, en un tiempo relativamente bueno'
tarea,'mas que nada por como es el motor de prolog basado en backtracking'
tarea,'para mi es un \" depende\"'
socio-emocional,'claro sisi pienso igual, no habia tenido en cuenta lo del motor de prolog'
tarea,'esa seria una buena respuesta depende del caso podria serlo para volumenes pequeños de datos'
socio-emocional,'claro , en una base con 10 hechos prolog anda joya'
socio-emocional,'pero la realidad no es esa..'
tarea,'si claro, bueno voy a tratar de dar una respuesta con lo que tenemos por ahora y lo dejo como sugerencia y a medida que lo veamos todos decidimos que le falta y de mas'
socio-emocional,dale
tarea,'Chicos no encuentro en el doc donde explican si Prolog se puede utilizar para aprendizaje de maquinas... Lo escribieron al final ?'
tarea,'Si quieren podemos hacer un llamado hoy mas a la noche... coordinar mas o menos si todos podemos? como para pegarle !una finiquitada'
tarea,'Supongo que si nos dejan usar el hangout podemos usarlo para conferencia tambien y no solamente como chat'
tarea,'no, no lo escribi nada porque tengo muchas dudas sobre si se puede o no utilizar prolog para programar aprendizaje automatico'
tarea,'Poder se puede seguro'
tarea,'claro pero el tema es fundamentarlo y no se como'
tarea,'encontre algo leyendo anoche, de uno que habia hecho aprendizaje automatico en prolog ahora paso el link asi si estamos todos de acuerdo ponemos eso'
tarea,'yo encontre ejemplos en ingles de programas ML hechos en prolog'
tarea,http://www.cs.ccsu.edu/~markov/ccsu_courses/mlprograms/
tarea,'parece que se usaba'
tarea,'pero hace años..'
socio-emocional,'haber que dice'
tarea,'yo encontre esto'
tarea,http://programacionlogica.blogspot.com.ar/2005/11/algoritmo-de-aprendizaje-id3.html
tarea,'es un algoritmo de ML en prolog, el articulo es del 2005 pero el algoritmo es del 79 creo'
socio-emocional,'a ver'
socio-emocional,Chicos
tarea,'quien esta online?'
tarea,'que la tenga atada con el ingles ?'
socio-emocional,'Ahi te veo Balta'
socio-emocional,Ea!
tarea,'chicos damos como resuelto el tema de la pregunta uno y nos enfocamos en la 2 y 3?'
tarea,'estan de acuerdo con la definicion a la que llegamos'
tarea,'Me parece que se nos hizo un toque extensa, pero me gusta. Esta bastante con nuestras conclusiones'
socio-emocional,'no es que es copy&paste'
tarea,'claro aparte la fuimos formando entre todos, si capas nos fuimos un poco a lo que eras sus tecnicas y eso. pero en si es como una definicion y amplia un poco mas'
tarea,'Dejemosla por ahora asi, una vez que tengamos todo mas o menos armado vemos si podemos juntarnos todos a la misma hora aca en hangout y pegarle un cierre para entregar'
socio-emocional,'dale joya'
socio-emocional,'Dale, queda asi.'
tarea,'Chusmen lo que pegué arriba de los mails de cada uno.'
socio-emocional,'Esta complicado explicar estos ejemplos de mierda.'
socio-emocional,'O por lo menos más de lo que crei que iba a ser.'
tarea,'es que una \"rama\" es muy general, capaz elegir una rama mas facil'
tarea,'por ejemplo Mineria de Datos'
tarea,'es mas facil'
tarea,creo
tarea,'Hoy voy a rendir el recuperatorio (juaaa)'
tarea,'aprovecho y les pregunto a ver si son 3 ramas o tiramos 3 aplicaciones concretas'
socio-emocional,'Yo voy a intentar hacer un miti y miti con el tema juegos.'
tarea,'Termine haciendo de Mineria de datos...'
socio-emocional,'baltasar estas ?'
tarea,'estuve buscando imagenes de alguna aplicacion de ML en medicina pero no encontre nada, para las otras categorias si encontre y ya las coloque en el documento'
tarea,'Che pero necesitabamos poner 3 nomas y estamos poniendo 4'
tarea,'Hasta ahora tenemos'
tarea,'Juegos, Medicina, Mineria de Datos y Robotica'
tarea,'si mejor igual, dice como minimo 3 osea que si explicamos alguna mas mejor'
socio-emocional,'a tenes razon, dice \"al menos 3\"'
tarea,'claro mejor todavia si ponemos mas igual para mi esta bien ahi, explica el como se utiliza ML en el area y a su ves hay ejemplos de aplicaciones especificas'
tarea,'lo que no puedo encontrar es aplicaciones en medicina osea no encuentro nada'
tarea,testvirtual.flacso.org.ar/course/view.php?id=1219
tarea,'que es?'
tarea,'aplicacion de machine learning para el diagnostico de cancer'
tarea,'pero esta in english?'
tarea,'aa joya porque me pide usuario y contraseña'
socio-emocional,'ahora ds delmedio dia saco algo de texto (bien cortito)'
socio-emocional,'como para poner de ejemplo'
socio-emocional,'y una imagen que hay(de un arbol de toma de decisiones)'
tarea,'y listo'
tarea,'joya dale asi ya quedaria completo esa parte por lo menos para mi ya estaria bien'
socio-emocional,'hay alguien ?'
tarea,'si yo estoy'
socio-emocional,'como est?as'
tarea,'todo tranquilo aca buscando algo de info para completar el punto 3'
socio-emocional,vos?
socio-emocional,'biien todo tranqui,'
tarea,'vi que estuvieron hablando con pablo , hacemos alguna aplicacion mas ?'
tarea,'mejor asi, estuve viendo lo de medicina y esta bien pero le faltaria aulguna aplicacion especifica como la de las demas ramas'
tarea,'podriamos hacer una mas como para que quede mas completa'
tarea,'cual decis de hacer?'
tarea,'decis un ejemplo en diagnostico ?'
tarea,'o en genetica?'
tarea,'de cualquiera de los dos'
tarea,'con uno bastaria'
socio-emocional,'bueno dale , mira no los puse, xq me parecieron bastante triviales'
tarea,'creo que pablo habia encontrado uno de diagnostico de cancer con ML pero no pude abrir el link'
tarea,'en diagnostico es facil,'
tarea,'es simplemente, un paciente va al medico con ciertos sintomas , y ML asiste al medico en cuanto a la posible enfermedad , dado los pacientes anteriores y las decisiones que se tomaron .'
tarea,'basicamente es eso.'
tarea,'claro sisi eso es mas o menos lo que esta en la explicacion, pero yo me refiero a un programa en particular y como este utiliza ML para llegar a su objetivo'
tarea,'por ejemplo en robotica puse Icub que es un robot que utiliza ML, en juegos puse TD-Gammon que juega backgammon utilizando ML y en mineria de datos puse Azure de microsoft que usa ML'
tarea,'a eso me refiero no se si se entiende'
socio-emocional,'aaah okaa'
tarea,'una aplicacion bien explicita !'
tarea,'claro como para que se va en donde actua lo explicado antes'
socio-emocional,'dale perfecto, busco algo'
socio-emocional,'dale joya'
socio-emocional,'yo estoy buscando pero no encuento nada jaja'
tarea,'http://canuelasya.com.ar/?accion=nota&id=1027&titulo=Desarrollan\%20software\%20que\%20podr\%C3\%ADa\%20anticipar\%20ataques\%20card\%C3\%ADacos'
tarea,'fijate, ahi encontre algo de ataques cardiacos y un sistema que puede prevenir utilizando ML'
tarea,'joya sisi esta bueno, lo mandamos nomas'
tarea,'perteneceria a diagnostico no?'
tarea,claro
socio-emocional,'joya , dale'
socio-emocional,'en un rato lo hago'
socio-emocional,'dale dale joya'
tarea,'despues pegale una leida a lo del punto tres si podes, esta medio corto pero es una base para ampliar'
socio-emocional,'sisi eso estuve haciendo'
tarea,'tengo que leer lo que puso pablo en ingles , potr wue si no no entiendo una'
socio-emocional,'uuh , bardie , me entendiste?'
socio-emocional,'si entiendo jaja'
tarea,'yo lo lei pero entendi por arriba lo de las tres falencias de Prolog'
socio-emocional,'dale ,desp le pego una buena leida'
socio-emocional,'dale joya entonces'
tarea,'Donde anda la fecha de entrega? Que lo eliminaron de la pagina.'
tarea,'Era ANTES del 22? O el 22 inclusive.'
tarea,'Hasta el 22 a las 18 ha hay tiempo para entregarlo'
socio-emocional,'Que idiota, acabo de ver que la tabla del sabado llega hasta las 17.'
tarea,'Si igual estaria terminarlo hoy o mañana a mas tardar para no andar a las apuradas el sabado'
socio-emocional,'Si mas vale, aparte un sábado es una paja.'
tarea,'Por lo que estoy viendo en la tabla de los horarios, hoy esta bastanta complicado.'
tarea,'Para mi que estaria bueno madrugar mañana y liquidarlo,'
socio-emocional,'Si aparte mas o menos ya esta, si la mayoría o después de las 23 o sino mañana a la mañana'
socio-emocional,'Si de una si nos ponemos tempra mañana lo terminamos si falta hacer un par de ajustes nomas el punto uno y dos para mi están bien'
tarea,'Faltaría agregar algo mas en el 3'
socio-emocional,'Bien, quedamos en eso.'
tarea,'A ver como les avisamos a los demas.'
socio-emocional,'Tiro un mensaje al chat.'
tarea,'Si Pablo y Juan creo que pueden a la mañana, yo puedo asi que si vos podes faltaría nadia nomas'
socio-emocional,'Nadia? jaja quien la conoce.'
socio-emocional,'Na, pero no va aparecer, es obvio.'
tarea,'Ayer apareció hizo la parte de el área de juegos en las aplicaciones de ML'
socio-emocional,'Ni me fije, bien ahi.'
tarea,'Ahi escribi un mensaje en el DOC.'
socio-emocional,'Sisi, joya!'
socio-emocional,'Escribo tu confirmado'
socio-emocional,'Sisi yo mañana a la mañana me conecto temprano no hay drama'
tarea,'GENTE CHUSMEN EL DOC QUE DEJAMOS UN MENSAJE PARA JUNTARNOS MAÑANA Y LIQUIDARLO. CONFIRMEN.'
socio-emocional,'Buen día gente.'
tarea,'usemo el chat de gmail'
socio-emocional,'(re ortiva)'
socio-emocional,'Buen dia'
socio-emocional,'Se, posta.'
socio-emocional,buenas
socio-emocional,'buenas buenas'
socio-emocional,'como estas?'
socio-emocional,'Buenas buenas'
socio-emocional,buenassss!!
socio-emocional,hola!!!!!!
socio-emocional,'Hola hola'
socio-emocional,'somo un parrr'
tarea,'che quieren armarlo mas como un informe?'
tarea,'le vamos poniendo titulos y le sacamos lo que es 1, 2, ...'
socio-emocional,'Dale, ni idea yo le mande los numeros para identificar que cosa respondia que, pero si se puede armar todo junto lo hacemos mas tipo informe'
tarea,'si, estaba en eso de borral las cosas que no vamos a usar, como las tablas que pusimos para ver a que hora podiamos todos'
socio-emocional,'dale dale'
socio-emocional,buenisimo
socio-emocional,buenas
socio-emocional,'buenas juan'
socio-emocional,'como estan ?'
socio-emocional,'disculpn me doprmi un toque'
tarea,'che, rapido que puedo ir haciendo?'
tarea,'le estabamos dando formato'
socio-emocional,'voy viendo algo de la 3'
tarea,'yo lo lei todo recien como para revisar coherencia'
socio-emocional,buenisimo
tarea,'me parecio bastante bien'
tarea,'no me convence la 3ra, la parte de las falencias creo que me quedo traducida medio pedorro'
socio-emocional,jajajaj
tarea,'Cual es la 3ra parte? Yo veo 2.'
